Date;Total Rain (mm/h);Reference ET (mm/h);Potential ET (mm/h);Actual ET (mm/h);Recharge (mm/h)
01/01/2016 00:00;0.0;3.822468461025939e-13;3.822468461025939e-13;0.0;0.0
01/01/2016 01:00;0.8;3.3763492308882046e-12;3.3763492308882046e-12;3.3763492308882046e-12;0.7999999999966237
01/01/2016 02:00;0.0;4.983856281723972e-11;4.983856281723972e-11;4.983924384305283e-11;0.0
01/01/2016 03:00;0.0;1.2142466936938824e-10;1.2142466936938824e-10;1.2142287175720412e-10;0.0
01/01/2016 04:00;0.0;1.694695326599235e-10;1.694695326599235e-10;1.694715479061415e-10;0.0
01/01/2016 05:00;0.0;6.409961712972104e-11;6.409961712972104e-11;6.409983654975804e-11;0.0
01/01/2016 06:00;0.0;2.7476323265587663e-11;2.7476323265587663e-11;2.7474911235003674e-11;0.0
01/01/2016 07:00;0.0;8.625263582755202e-12;8.625263582755202e-12;8.625988812127616e-12;0.0
01/01/2016 08:00;0.0;1.6640915246006204e-11;1.6640915246006204e-11;1.6640910871501546e-11;0.0
01/01/2016 09:00;0.0;0.010063365521779959;0.010063365521779959;0.01005830365316207;0.0
01/01/2016 10:00;0.0;0.02684337638811973;0.02684337638811973;0.026780416582806055;0.0
01/01/2016 11:00;0.0;0.04851438229679244;0.04851438229679244;0.048218602159403545;0.0
01/01/2016 12:00;0.0;0.08192272404035163;0.08192272404035163;0.08089410558495835;0.0
01/01/2016 13:00;0.0;0.06790559532415931;0.06790559532415931;0.06655247227027061;0.0
01/01/2016 14:00;0.0;0.06727322219976642;0.06727322219976642;0.06548856521858859;0.0
01/01/2016 15:00;0.0;0.033883313928604074;0.033883313928604074;0.03281798619699927;0.0
01/01/2016 16:00;0.0;0.007616228495931319;0.007616228495931319;0.0073614720082186835;0.0
01/01/2016 17:00;0.0;3.9979867691330944e-10;3.9979867691330944e-10;3.8627945286862087e-10;0.0
01/01/2016 18:00;0.0;3.469820334173294e-10;3.469820334173294e-10;3.3524827358633047e-10;0.0
01/01/2016 19:00;0.0;2.5611274106680735e-10;2.5611274106680735e-10;2.474518367989731e-10;0.0
